HotelName,Latitude,Longitude,TransportationModesCount,AttractionPlacesCount,Rating
Blue Water Boutique Hotel,7.230939,79.841031,2,9,52.8
BLUE WHALE HOLIDAY HOTEL,5.947248,80.4615845,3,23,42
Blue Whale Resort Kalpitiya,8.2150879,79.7143528,0,4,68.8
Bobbi INN ROOM,9.6687137,80.0152231,5,17,25.2
Bochum Lanka Resort,6.4583723,79.9763824,6,6,48
Bogala Village Eco Resort,7.1077194,80.2823026,0,1,64
Boho Hostel Mirissa,5.9487784,80.4610269,3,22,27
BOLAGALA AGRO FLOATING RESORT,7.2726863,79.9310068,0,0,25.8
Bolgoda Prawns Village,6.7415893,79.9164228,1,2,48
BRAVO CITY HOTELS | BRIGHT BRAVO HOTEL,7.4754639,80.35483,10,6,62.4
Breeze of Paradise (Pvt) Ltd,6.8602029,79.902877,10,8,54
Bridge Hotel Negombo,7.2100045,79.9019675,3,1,45.6
Brighten Hotels,6.9414028,79.8637886,20,30,60.8
BRINTHAVANAM days Inn,9.6675063,80.0415339,3,7,49.2
Brixia Cafe and Guest,6.0353526,80.215837,13,36,30
Brookside Resort,7.3752959,80.6780027,2,0,43.2
Brother's Beach Home,6.0663915,80.1702211,11,4,23.4
Buckingham Place,6.0466576,80.8545131,0,5,56.4
Bungalow Berrycove,7.5683765,80.370018,1,2,27.6
C Beyond Nilaveli,8.732887,81.1735417,0,1,51.6
C1 Colombo Fort,6.9353993,79.8442671,16,47,72
Calamansi Cove Villas by Jetwing,6.2845012,80.0372365,3,7,54
Calidan,5.9454829,80.4551778,3,22,26.4
Calm Residence Lake side,7.2891711,80.6428994,13,36,25.8
Cambridge Court.,6.808348,79.9137861,22,5,88
Camellia Dwelling,6.1403683,80.1015608,18,12,55.2
Camellia Resort and Spa,7.9952951,80.737026,1,1,68.8
Camelot Beach Hotel,7.2334014,79.8409434,2,9,84
Camp Leopard - Yala Safari Glamping,6.4094089,81.3585785,2,0,27.6
Canal Villa Bentota,6.4171501,80.0063698,7,13,27.6
Cape Weligama - Relais & Chateaux,5.95979,80.409903,3,12,73.6
Capital O 514 Swiss Residence Weligama,5.9657499,80.4524736,3,14,24.6
Capital Wind Kalpitiya,8.2239937,79.7283087,0,4,48
Cardamon Hotel,8.6840867,81.1990326,0,2,46.8
Caribbean Chill Restaurant and Bar,5.9364434,80.5159299,3,6,19.2
Casalanka Hotel,6.126351,80.106322,17,14,25.2
Cassa Hikka Villa,6.1711103,80.0864379,18,4,46.8
Cassandra Culture Resort,7.9922857,80.7336502,1,1,72
Castle Bay Resort,5.961109,80.4197781,3,13,27.6
Castle Palace Kandy,7.3102952,80.7546827,1,1,48
Catamaran Beach Hotel,7.2283667,79.8407825,2,8,57.6
Celestial Inn,5.9453564,80.4612676,3,22,54
Centara Ceysands Resort & Spa Sri Lanka,6.4323513,79.9964317,10,19,84
Centauria Hill Resort,6.6971457,80.3905336,1,2,65.6
Centhara Beach Weligama,5.9723528,80.430125,3,14,25.2
Central Beach Inn,5.945822,80.4592029,3,22,49.2
Ceylan Lodge,8.3341758,80.4158607,12,3,45.6
"Ceylon City Hotel, Colombo",6.8896951,79.856059,17,20,62.4
Ceylon Resort,8.2731399,80.150711,0,0,56.4
Ceylon Sea Hotel,6.032104,80.7994842,8,4,64
Ceylon Sliders,5.9680457,80.4238348,3,16,70.4
Ceyloni City Hotel,7.2970263,80.6368636,14,38,51.6
Ceyloni Lake Residency,7.2889442,80.6389186,13,36,48
Ceyloni Panorama Resort,7.2874938,80.6554198,4,24,67.2
Chami Villa,6.4210906,79.9972457,7,13,55.2
Chandiv Hotel,5.941965,80.4986108,2,11,62.4
Changami Korean Supplies pvt ltd,6.8923264,79.8700431,18,18,22.2
Chapelton House (Pvt) Ltd,6.8768106,79.8610757,17,12,68.8
Chari Lake Hotel,6.0133456,80.3162746,1,5,28.2
Charlton Kandy Rest,7.2950456,80.637524,14,38,57.6
Chenra Hotel,6.4026884,81.3341877,3,2,39.6
Chill House (Good Story),5.9681667,80.4500482,3,10,24.6
Chill Space,7.2245233,79.8477107,2,11,58.8
China Manor Hotel & Restaurant,6.9296796,79.8633649,27,50,50.4
Chinese Lotus Luxapathiya,6.8006062,79.8817001,23,4,67.2
Chitra Ayurveda,6.4152188,79.9983745,7,13,24.6
Choy's Waterfront Residence,7.2085055,79.8354862,5,14,62.4
Christima Residence,7.2346056,79.8422122,2,9,52.8
Christopher's Homestay Negombo,7.2339328,79.8644929,1,0,24.6
Cinnabar Resort,6.0405975,80.8144953,0,4,72
Cinnamon Airport Residencies,7.1343691,79.8794381,8,1,48
Cinnamon Bentota Beach,6.4249055,79.9968753,7,14,90
Cinnamon Bey Beruwala,6.4522287,79.9790894,7,7,86
Cinnamon Citadel,7.3058395,80.6241506,15,12,88
Cinnamon Grand Colombo,6.918109,79.8487401,23,48,90
Cinnamon Lakeside Colombo,6.9291704,79.8492962,18,58,92
Cinnamon Lodge Habarana,8.0353911,80.7492021,0,6,92
Cinnamon Red Colombo,6.91217,79.8553156,21,41,90
Citrus Hikkaduwa,6.1295384,80.1030692,16,14,80
Citrus Waskaduwa,6.6248516,79.9419835,2,4,84
City Capital Hostel,8.3246329,80.4060468,11,4,46.8
City Hotel Colombo 02,6.9212969,79.8546093,25,58,54
CITY HOTEL PETTAH,6.9390807,79.8549997,19,50,40.8
City Line Rest,6.7262072,80.032038,0,0,25.2
City Resort,8.3248386,80.4056458,11,4,59.2
City Rest Motel,6.9391618,79.8587929,20,49,39.6
City Stay,6.0350986,80.24675,5,9,46.8
CityRest Fort,6.933736,79.8442336,17,49,64
Cj Villas,6.8973095,79.8522014,21,22,44.4
